Participant,SSQ-01,SSQ-02,SSQ-03,SSQ-04,SSQ-05,DM-01,DM-02,DM-03,DM-04,DM-05,DM-06,DM-07,DM-08,DM-09,DM-10,PH-SUS-01,PH-SUS-02,PH-SUS-03,PH-SUS-04,PH-SUS-05,PH-SUS-06,PH-SUS-07,PH-SUS-08,PH-SUS-09,PH-SUS-10,PH-UES-01,PH-UES-02,PH-UES-03,PH-UES-04,PH-UES-05,PH-UES-06,PH-UES-07,PH-UES-08,PH-UES-09,PH-UES-10,PH-UES-11,PH-UES-12,PH-AIS-01,PH-AIS-02,PH-AIS-03,PH-AIS-04,AR-SS-01,AR-SS-02,AR-SS-03,AR-IPQ-01,AR-IPQ-02,AR-IPQ-03,AR-IPQ-04,AR-IPQ-05,AR-IPQ-06,AR-IPQ-07,AR-IPQ-08,AR-IPQ-09,AR-IPQ-10,AR-IPQ-11,AR-IPQ-12,AR-IPQ-13,AR-IPQ-14,AR-SUS-01,AR-SUS-02,AR-SUS-03,AR-SUS-04,AR-SUS-05,AR-SUS-06,AR-SUS-07,AR-SUS-08,AR-SUS-09,AR-SUS-10,AR-UES-01,AR-UES-02,AR-UES-03,AR-UES-04,AR-UES-05,AR-UES-06,AR-UES-07,AR-UES-08,AR-UES-09,AR-UES-10,AR-UES-11,AR-UES-12,AR-AIS-01,AR-AIS-02,AR-AIS-03,AR-AIS-04,MR-SS-01,MR-SS-02,MR-SS-03,MR-IPQ-01,MR-IPQ-02,MR-IPQ-03,MR-IPQ-04,MR-IPQ-05,MR-IPQ-06,MR-IPQ-07,MR-IPQ-08,MR-IPQ-09,MR-IPQ-10,MR-IPQ-11,MR-IPQ-12,MR-IPQ-13,MR-IPQ-14,MR-SUS-01,MR-SUS-02,MR-SUS-03,MR-SUS-04,MR-SUS-05,MR-SUS-06,MR-SUS-07,MR-SUS-08,MR-SUS-09,MR-SUS-10,MR-UES-01,MR-UES-02,MR-UES-03,MR-UES-04,MR-UES-05,MR-UES-06,MR-UES-07,MR-UES-08,MR-UES-09,MR-UES-10,MR-UES-11,MR-UES-12,MR-AIS-01,MR-AIS-02,MR-AIS-03,MR-AIS-04,VR-SS-01,VR-SS-02,VR-SS-03,VR-IPQ-01,VR-IPQ-02,VR-IPQ-03,VR-IPQ-04,VR-IPQ-05,VR-IPQ-06,VR-IPQ-07,VR-IPQ-08,VR-IPQ-09,VR-IPQ-10,VR-IPQ-11,VR-IPQ-12,VR-IPQ-13,VR-IPQ-14,VR-SUS-01,VR-SUS-02,VR-SUS-03,VR-SUS-04,VR-SUS-05,VR-SUS-06,VR-SUS-07,VR-SUS-08,VR-SUS-09,VR-SUS-10,VR-UES-01,VR-UES-02,VR-UES-03,VR-UES-04,VR-UES-05,VR-UES-06,VR-UES-07,VR-UES-08,VR-UES-09,VR-UES-10,VR-UES-11,VR-UES-12,VR-AIS-01,VR-AIS-02,VR-AIS-03,VR-AIS-04,EI-SS-01,EI-SS-02,EI-SS-03,EI-01,EI-02,EI-03,EI-04,EI-05,EI-06,TLFB-01-01,TLFB-01-02,TLFB-01-03,TLFB-01-04,TLFB-01-05,TLFB-01-06,TLFB-01-07,TLFB-01-08,TLFB-01-09,TLFB-01-10,TLFB-01-11,TLFB-01-12,TLFB-01-13,TLFB-01-14,TLFB-01-15,TLFB-01-16,TLFB-01-17,TLFB-01-18,TLFB-02-01,TLFB-02-02,TLFB-02-03,TLFB-02-04,TLFB-02-05,TLFB-02-06,TLFB-02-07,TLFB-02-08,TLFB-02-09,TLFB-02-10,TLFB-02-11,TLFB-02-12,TLFB-02-13,TLFB-02-14,TLFB-02-15,TLFB-02-16,TLFB-02-17,TLFB-02-18,TLFB-03-01,TLFB-03-02,TLFB-03-03,TLFB-03-04,TLFB-03-05,TLFB-03-06,TLFB-03-07,TLFB-03-08,TLFB-03-09,TLFB-03-10,TLFB-03-11,TLFB-03-12,TLFB-03-13,TLFB-03-14,TLFB-03-15,TLFB-03-16,TLFB-03-17,TLFB-03-18,TLFB-04-01,TLFB-04-02,TLFB-04-03,TLFB-04-04,TLFB-04-05,TLFB-04-06,TLFB-04-07,TLFB-04-08,TLFB-04-09,TLFB-04-10,TLFB-04-11,TLFB-04-12,TLFB-04-13,TLFB-04-14,TLFB-04-15,TLFB-04-16,TLFB-04-17,TLFB-04-18,TLFB-05-01,TLFB-05-02,TLFB-05-03,TLFB-05-04,TLFB-05-05,TLFB-05-06,TLFB-05-07,TLFB-05-08,TLFB-05-09,TLFB-05-10,TLFB-05-11,TLFB-05-12,TLFB-05-13,TLFB-05-14,TLFB-05-15,TLFB-05-16,TLFB-05-17,TLFB-05-18
011,0,1,0,0,0,5,1,42,2,1,3,,2,1,,5,1,5,1,5,1,5,3,3,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,5,3,,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,5/29/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
012,1,0,0,0,0,5,2,39,1,6,2,,2,1,,5,1,5,1,5,1,5,1,5,1,1,5,5,1,1,1,5,5,5,5,5,5,5,1,5,5,2,2,2,1,1,1,5,5,1,1,1,5,1,1,1,1,1,1,1,5,1,5,5,5,5,5,1,1,1,1,4,1,5,1,1,1,4,4,1,1,1,2,5,2,2,2,2,4,4,4,4,2,1,1,5,2,2,2,2,1,1,4,4,1,2,2,4,4,4,2,1,1,1,4,2,4,2,2,2,2,2,2,1,1,5,5,6,2,2,4,4,4,2,4,4,2,1,1,4,4,2,2,2,5,2,5,1,5,1,4,4,5,1,4,4,3,1,1,1,4,4,4,4,3,3,4,5,5,4,2,2,2,enjoyed VR the most because it actually felt like the participant was going to a different place. disliked both AR and VR. felt like it interfered with vision and caused difficulty focusing on the task because of being so aware of the surroundings.,"yes - only VR. could envision VR being used to calm an individual down during crisis, especially with the breathing exercise. if an individual was truly focusing, the CBT videos could be helpful as well.","feels like the app could be useful because it took the participant's mind off of the cravings, believes the questions asked were appropriate but feels like more questions could have been asked and could have delved deeper.","CBT - feels like it would be helpful to an individual that is new to recovery. feels like the intervention was not super beneficial for them because they have been in recovery for so long and have heard the same things in the videos before. HRV - felt like the intervention was too long. could have been helpful to have a break in between and feels like it may be helpful to incorporate different breathing exercises into the activity, such as the 4x4 breathing exercise.","yes - feels like it would be beneficial to take it home and utilize it daily or whenever they are feeling increased tension or anxiety. feels like this should be something that is utilized as needing depending on the individual patient and
their stability",yes - could envision self utilizing the app a couple of times per week,6/3/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,6/18/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/14/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/30/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,8/5/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
013,0,1,0,0,0,5,2,33,1,6,2,,2,2,,4,1,5,1,5,1,4,4,5,1,1,1,4,1,1,1,3,3,4,4,4,4,3,3,5,-98,2,2,3,2,2,1,5,1,1,1,1,5,1,,3,3,1,4,4,3,4,3,4,2,4,3,4,2,2,2,4,3,3,2,3,3,3,2,4,3,2,4,4,6,2,3,3,4,2,2,2,4,1,1,5,3,2,3,2,1,4,4,4,3,3,2,3,2,4,3,2,2,4,1,1,1,3,3,4,4,4,4,3,2,5,4,2,2,3,4,5,2,2,4,5,3,3,3,4,3,4,3,3,4,2,4,3,4,2,4,1,4,3,3,4,3,2,1,1,4,3,4,4,4,4,4,3,5,5,2,3,3,VR was the best one. Was able to get a real feel to it because it blocked everything out. Did not enjoy AR or MR much because could still see external environment.,"Yes, with the VR for sure. Could see it helping someone since it blocks everything around you and gets your full attention.",It's good at getting a feel of what's going on. It could be better as far as giving more interventions and exercises to go with it.,"CBT: Feels like the woman in the videos hit on almost every point, but could have gone a little more in depth with the subjects that she was discussing. HRV - did help participant. Believes that these interventions were appropriate for the intensity level and triggers reported.","Yes - could see the iPAL helping, specifically with assisting with understanding and navigating one's
feelings.",Yes - could envision self using the application pretty frequently (4-5x per week),6/2/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,6/18/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/1/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/14/25,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/21/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
014,0,0,0,0,0,5,1,30,3,1,2,,1,4,,4,2,4,1,4,2,4,2,4,2,1,2,2,2,2,2,3,3,3,4,3,3,4,4,4,4,1,2,4,1,1,1,5,2,1,1,1,5,1,1,2,1,2,1,5,2,2,2,3,4,4,3,4,1,1,1,2,3,1,2,2,2,1,2,3,4,3,5,5,1,2,3,5,5,1,4,4,5,1,1,5,4,4,4,4,1,4,1,4,1,4,1,4,1,4,1,1,1,3,1,1,1,4,4,4,4,4,4,5,5,5,5,1,2,2,2,5,5,1,4,5,1,1,5,4,2,5,2,1,4,1,5,1,4,1,4,1,5,1,1,1,4,1,1,1,4,4,4,4,4,4,5,5,5,4,1,2,3,"believes that all headsets were easy to navigate. MR - felt like there was more of a real image than artificial image and believes that it would be the easiest to navigate. participant states that they actually felt like they were on the beach during the HRV intervention. VR - enjoyed the visuals and enjoyed being able to get a fuller picture of everything. believes that the imaging was too animated and that the headset itself was too bulky. AR - did not enjoy at all, but believes that aspect was nice. states that it was a bit more difficult to navigate initially and visuals were more difficult to see.","does not believe that they would be beneficial during crisis mode in a real life scenario. states that it would work if these headsets were available, but does not think that this is logical or realistic due to how expensive these headsets are. notes that it could help, but there has to be practicality when developing a treatment plan and making these interventions more accessible.",asked the right questions and was not too long or too short. hit the main points that are important,"CBT - perfect length, not too long or too short; CBT - perfect length, not too long or too short; thinking about aspects of life in different ways. notes that the videos personally did not help the participant with the intensity of their cravings, but helped identify triggers for cravings. HRV - very good intervention; helped calm down and get in the right headspace and believes it was a perfect length. both interventions reported to be appropriate for intensity level and triggers reported.","yes - could definitely assist in identifying triggers and allowing space for self. reports that identifying triggers is one of the hardest things to do for someone in addiction and some people don't know/can't identify why they like getting high, so this could be very beneficial for someone in active addiction.",yes - could envision self utilizing app 3-4x/week,6/4/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/15/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,9/9/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,9/15/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,9/16/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
015,0,0,0,0,0,5,2,27,3,6,1,,3,7,,3,1,5,1,3,2,5,1,5,1,3,4,3,1,1,1,4,4,4,3,3,4,4,5,5,5,5,1,3,4,3,3,4,2,3,3,2,4,4,3,3,2,2,2,3,4,1,2,2,4,3,4,2,2,4,3,2,2,2,2,2,4,2,3,3,4,3,4,4,5,1,3,5,5,5,1,5,5,4,4,3,4,5,2,5,5,5,2,5,1,5,1,4,5,5,1,4,5,5,1,1,1,5,5,5,5,5,5,4,4,,5,5,1,3,5,5,5,1,5,5,4,4,1,5,5,2,5,4,5,2,5,2,5,2,2,2,5,2,4,5,5,2,2,2,5,5,5,5,5,5,5,5,5,,5,1,3,"didn't care for AR much, felt like paid attention to external environment too much to actually pay attention to intervention. felt like MR was okay and the easiest to use of the three. VR was the favorite because it was the most immersive and gave illusion that participant was present.","yes - feels like it would be significantly better to use these interventions for individuals as opposed to the standard care with a person, varies on person/patient",feels like it was a good intervention with good questions asked and not too many or too few questions. allows the individual using the app to acknowledge what and how different factors are affecting them.,"CBT - only enjoyed in VR intervention. felt like the videos were too short, but felt like they were appropriate for the intensity level and triggers reported. HRV - enjoyed a lot and felt calm. feels like the intervention would be nice if it were a bit longer and believes the interventions were appropriate for the intensity level and triggers reported.","yes - could be either used in therapy or at home as needed for triggers or even on a regular basis, depending on the patient and their stability.",yes - could envision self utilizing app twice per day,6/10/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/1/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/21/26,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,8/4/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,8/12/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
016,0,0,0,0,0,5,1,49,1,2,3,,2,4,,5,1,5,1,5,1,5,1,5,1,4,1,4,1,1,1,5,4,4,5,5,5,5,1,5,5,2,3,3,1,5,5,1,2,5,1,1,4,4,4,4,4,1,4,4,5,2,4,4,5,4,5,4,2,4,2,2,1,2,4,5,4,4,4,4,4,5,5,4,1,3,2,4,4,5,2,2,4,2,2,5,5,4,2,4,1,5,1,5,2,5,1,5,1,5,4,2,2,4,1,1,1,5,5,4,5,5,5,5,2,5,5,2,3,3,5,5,5,1,5,5,2,2,3,5,4,1,4,1,5,4,4,2,5,4,5,4,5,1,5,5,5,1,1,1,5,5,5,5,5,5,5,1,5,5,2,3,3,"participant notes that he enjoyed his experiences with all of the headsets, but enjoyed VR the most. enjoyed undergoing the interventions in all three of them.","yes, especially for those who prefer listening to someone speaking as opposed to going to an actual counselor and speaking with them. there is also the convenience of potentially using these technologies at home with the iPAL app, but participant is unsure of how this could potentially be executed.",believes that the app was great and easy to use and navigate and believes that it asked appropriate questions.,"CBT - believes that the videos were ""alright."" felt like they were appropriate for the intensity level and triggers reported. does not believe that they were too long or too short. believes the breathing exercises were appropriate for the triggers reported, but believes that they were too long, but may be beneficial and a good length for other patients.","yes, but believes it would be most beneficial to use with the headsets as opposed to independently","yes - could envision self utilizing once per week, yes - could envision self utilizing once per week,",6/10/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/10/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/31/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,8/12/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,8/20/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
017,0,0,0,0,0,5,1,38,1,1,3,,1,3,,4,1,5,2,4,2,5,2,5,1,2,2,4,1,2,2,3,4,3,3,4,4,3,3,4,4,1,3,1,2,2,4,2,4,4,1,1,5,4,1,4,1,1,2,2,5,2,4,2,4,2,4,2,2,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,1,3,1,4,5,4,2,4,4,2,2,2,4,5,2,5,1,4,1,4,2,4,2,5,2,4,1,1,4,4,2,1,1,4,4,4,4,4,4,4,4,5,5,1,3,1,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4,2,4,2,4,2,4,2,4,2,4,4,4,2,2,1,4,4,4,5,4,5,4,4,5,5,1,3,1,"notes that all of the interventions were nice in all of their own ways and states that he enjoyed VR the most due to how detailed and clear the graphics were in comparison to the graphics visualized in MR
and AR.",yes - could see these as a potential replacement to AA/NA meetings or therapy for those who don't want seek treatment due to lack of accessibility to care or fear of judgement.,"did not personally enjoy the app much, but states that could see it being beneficial for others. asked the appropriate amount of questions. could not really elaborate on why they did not personally enjoy it much.",CBT - feels like the intervention was okay. was too short and basic and feels like the way that the individual in the video was talking was not personalized. HRV - felt like the intervention was okay and helpful for individuals who need to focus on easing stress if emotions and anxiety are high. felt like both interventions were appropriate for the intensity level and triggers reported.,yes - believes that the app could be beneficial only if i the patient is willing to put the work in.,yes - could envision self utilizing 1-2x/week,6/12/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/10/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,9/4/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,9/10/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,9/17/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
018,0,0,0,0,0,5,2,42,3,2,1,,5,2,,5,1,5,1,4,1,5,1,4,1,2,3,5,1,1,1,3,3,5,5,5,5,5,4,5,5,2,3,3,1,1,1,5,4,2,1,1,4,1,1,1,1,1,1,1,5,1,4,3,5,3,4,2,1,5,4,1,1,1,1,3,2,3,4,4,1,4,5,5,2,3,3,1,2,3,5,2,1,1,1,5,1,1,3,1,2,2,1,5,1,3,1,5,3,5,1,1,2,2,1,1,1,4,4,1,3,4,4,4,4,5,5,2,1,3,5,5,4,1,2,5,4,4,1,5,5,4,5,2,5,1,5,3,5,3,5,1,4,1,3,5,4,1,1,1,5,5,5,5,5,5,4,4,5,5,2,1,3,"enjoyed VR the most due to it being the most immersive. can definitely tell it's virtual and not real, but feels like you could potentially put yourself there if you were comfortable enough. did not enjoy MR much and felt that it was difficult to focus on the tasks. disliked AR the most and felt like it was incredibly difficult to focus on the task while being able to see the background.",yes - only VR. AR could be very aggravating for people and feels like VR could be beneficial for individuals that could be having a very difficult day with cravings at a 10. helpful to take a moment through VR and get their minds off of what is going on.,believes that it is a good cravings management tool. the questions make you aware of what's going on in your life on a daily basis and how you're feeling and what's causing those feelings. could be helpful for feelings management as well and could potentially help with linking a cause behind the feelings.,"CBT - enjoyed the videos a lot. whenever someone is made aware of those feelings and cravings they are experiencing and understanding how to manage them, this could be helpful in recovery. participant feels that sometimes they have difficulty with remembering to check in with themselves and what's going on. HRV - felt like the exercise was too long. feels like it may have been a good length to keep someone grounded if coordinator wasn't in the room during the intervention.","yes - there are multiple pathways for a reason and participant believes that if the application were presented as an option, it could be very beneficial to others in recovery. should be utilized when people are coming into recovery and getting out of treatment.",yes - would envision utilizing twice per week,6/17/26,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/1/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/16/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/29/25,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,8/5/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
019,0,0,0,0,0,5,1,34,2,2,3,,1,3,,5,1,5,1,5,1,4,1,5,1,1,4,4,1,1,1,3,3,4,4,4,5,4,4,5,3,2,3,3,4,4,4,2,2,4,2,2,4,4,3,3,3,1,4,2,4,2,4,1,4,2,4,2,3,3,,1,1,1,4,4,4,4,-98,-98,-98,-98,-98,-98,2,3,1,4,4,4,1,5,5,5,5,1,5,5,4,5,2,5,1,5,1,5,1,5,1,5,1,5,5,5,1,1,1,4,5,4,5,5,5,5,5,5,5,2,3,3,5,5,5,1,5,5,5,5,2,5,5,4,5,2,5,1,5,3,4,1,5,1,4,1,5,5,5,1,1,1,4,5,5,5,-98,-98,-98,-98,-98,-98,2,3,3,believes that all of the realities were all easy to navigate and very relaxing to use. enjoyed the virtual reality the most due to how realistic it seems and how time slipped away during usage.,"yes - believes that if someone is experiencing cravings, then these technologies could assist with putting them in a different state of mind and help as a preventative method of treatment.","enjoyed using the app, believes that it is very straightforward and easy to use. notes that a good amount of questions were asked and good questions were asked as well. no suggestions reported.",believes that CBT videos were very helpful. felt like they hit on the right points and did not believe that they were either too long or too short. also believes that HRV was very helpful as well and also a good length of time. believes that both interventions were appropriate for the intensity level and triggers reported.,"yes, believes that just like the virtual, augmented, and mixed reality interventions, the app could help provide interventions through the phone that could assist with putting someone in a different state of mind when struggling with feelings of cravings.","yes, reports that would use the app once a week",7/3/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/17/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/29/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,8/18/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,8/25/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
020,0,1,0,0,0,5,2,36,3,2,3,,2,3,,4,3,5,2,4,2,5,5,4,1,3,4,5,1,1,1,4,4,3,4,5,5,4,5,5,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,2,3,2,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/17/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,7/31/25,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
021,0,1,0,0,0,5,2,32,1,1,2,,3,7,,4,1,5,2,5,1,4,1,4,1,1,1,5,1,1,1,5,5,4,4,5,5,4,4,5,3,1,2,3,2,1,5,3,4,4,1,1,5,2,1,5,1,2,3,2,4,1,3,1,4,2,5,1,2,1,3,1,1,1,4,4,5,5,5,5,5,4,3,-98,1,2,3,5,3,5,2,5,4,1,1,5,5,5,4,5,4,5,2,5,1,5,1,5,1,5,1,5,4,5,1,1,1,5,5,5,5,5,5,4,4,-98,4,1,2,3,5,5,5,1,3,5,3,3,3,5,5,3,5,3,1,5,1,2,3,5,5,3,1,5,-98,-98,-98,3,3,5,1,1,1,1,-98,-98,-98,-98,-98,-98,1,2,3,AR - believes that it was easy to navigate and the most simple. enjoyed using this headset a lot. MR - enjoyed the most and felt like it was also very easy to navigate. VR - disliked the most. participant reports that this was very overstimulating and participant reports having a panic attack during the intervention. could not tolerate for greater than 2 minutes.,yes - this could be helpful for individuals who don't socialize much with others and allow for options for other outlets to help with managing cravings.,believes that the app was helpful and covered all important aspects. states that good interventions came were developed based on the answers to her questions.,"CBT - good videos, but felt as if they were a bit monotone and a little too long. believes that they were appropriate for intensity levels reported. HRV - believes that these were too long, but somewhat helpful. believes that both interventions were appropriate for the intensity level and triggers reported.",yes - believes that the app was adequate and easy to navigate. believes that it was a good cravings management tool.,doesn't envision self personally using due to having previously been in a significant amount of outpatient treatment. believes that these questions would get redundant and interventions would get boring after a while and participant also believes that they are currently in a good place in recovery to where they don't feel like these current interventions would be very beneficial.,7/23/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,8/14/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,8/28/25,1,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,9/15/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,9/16/25,0,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98,-98
